Name,Address,Postal Code,Locality,Region,Phones,Website
VODAFONE SHOP - (ΤΡΙΚΟΥΠΗ ΧΑΡΙΛΑΟΥ),Τρικούπη Χαρίλαου 18,453 33,Ιωάννινα,Ιωαννίνων,265 102 4000,https://www.xo.gr/profile/profile-911352376/el/
PATRICK BISSON ΚΑΙ ΣΙΑ ΟΕ,Λάμπρου Σπύρου 69,453 33,Ιωάννινα,Ιωαννίνων,265 102 0767,https://www.xo.gr/profile/profile-911264353/el/
VODAFONE SHOP - (ΛΕΩΦΟΡΟΣ ΔΩΔΩΝΗΣ),Λεωφόρος Δωδώνης 122,453 32,Ιωάννινα,Ιωαννίνων,265 130 2222,https://www.xo.gr/profile/profile-911352371/el/
OMICRON 2,Σακελλαριου 4,454 44,Ιωάννινα,Ιωαννίνων,"265 107 1881, 697 799 0355",https://www.xo.gr/profile/profile-906548697/el/
ΑΛΦΑΣΤΑΡ ΕΛΛΑΣ,Πελασγών 3 και Λεωφόρος Πανεπιστημίου,455 60,Κάτω Νεοχωρόπουλο,Ιωαννίνων,265 109 4220,https://www.xo.gr/profile/profile-911257557/el/
WEST Α.Ε. - Ιωάννινα,Αγίου Κοσμά 69,452 21,Ιωάννινα,Ιωαννίνων,265 103 0656,https://www.xo.gr/profile/profile-911511960/el/
YZURY,Λεωφόρος Γράμμου 3,454 45,Ιωάννινα,Ιωαννίνων,694 545 6209,https://www.xo.gr/profile/profile-911716755/el/
PC SPOT,Στρατηγού Σακελλάριου 1-3,453 33,Ιωάννινα,Ιωαννίνων,"265 102 3013, 694 494 1162",https://www.xo.gr/profile/profile-911278277/el/
ΣΙΕΜΟΣ Κ. ΒΑΣΙΛΗΣ,Λεωφόρος Ελευθερίας 99,455 00,Ελεούσα,Ιωαννίνων,265 102 2289,https://www.xo.gr/profile/profile-906106240/el/
INFO TECH - Ιωάννινα,Ανεξαρτησίας 130,454 44,Ιωάννινα,Ιωαννίνων,265 103 8361,https://www.xo.gr/profile/profile-911242530/el/
ΩMEGANET,Μπιζανίου 17,452 21,Ιωάννινα,Ιωαννίνων,"265 102 3801, 694 777 0966",https://www.xo.gr/profile/profile-911627704/el/
TERRACOM - ΠΛΗΡΟΦΟΡΙΚΗ ΕΠΕ,Εθνικής Αντίστασης (τ. Μαρούλη Δημήτριου) 51,455 50,Κατσικάς,Ιωαννίνων,265 109 4334,https://www.xo.gr/profile/profile-906549342/el/
WAPP - DEVELOPMENT HOUSE,Πυρσινέλλα 8 και Ζυγομάλλη 5,453 32,Ιωάννινα,Ιωαννίνων,265 102 4308,https://www.xo.gr/profile/profile-911278118/el/
PC TECH NAKIS,Λεωφόρος Ιωαννίνων 52,452 22,Ανατολή,Ιωαννίνων,265 104 3208,https://www.xo.gr/profile/profile-911419483/el/
ΠΥΛΑΡΙΝΟΣ ΑΡΗΣ,Τσαλδάρη Λίνας 1,452 21,Ιωάννινα,Ιωαννίνων,"265 106 8442, 697 762 1707",https://www.xo.gr/profile/profile-911074584/el/
COMPUTER INFORMATION,Λεωφόρος Δωδώνης 69,452 21,Ιωάννινα,Ιωαννίνων,265 108 5560,https://www.xo.gr/profile/profile-906549423/el/
ΓΚΑΡΤΖΟΝΙΚΑΣ Δ. ΚΩΝΣΤΑΝΤΙΝΟΣ,Ακρίτα Λουκή 8,454 44,Ιωάννινα,Ιωαννίνων,265 103 6241,https://www.xo.gr/profile/profile-906750870/el/
THINK 4 PC,Πουλίτσα Παναγιώτη 2,452 21,Ιωάννινα,Ιωαννίνων,"265 107 1610, 694 576 7277",https://www.xo.gr/profile/profile-911276569/el/
ΕΞΕΛΙΞΗ,Δήμαρχου Πυρσινέλλα Βασίλειου 16,453 32,Ιωάννινα,Ιωαννίνων,"265 106 4410, 694 450 2550",https://www.xo.gr/profile/profile-906549774/el/
SYSTEM.NET,Μαυρογιάννη Παναγιώτη 78,454 44,Ιωάννινα,Ιωαννίνων,265 107 5844,https://www.xo.gr/profile/profile-911058045/el/
ZARRASTECH,Ελιγιά Γιοζέφ 18,452 21,Ιωάννινα,Ιωαννίνων,697 448 4324,https://zarrastech.eu/
ΝΟΗΜΑ - ΚΟΛΙΟΣ ΘΩΜΑΣ,Γ. Μελανίδη 4,453 32,Ιωάννινα,Ιωαννίνων,"265 102 9574, 694 700 7445",https://www.noema.gr/
ΝΕΑ ΙΔΕΑ ΜΕΤΑΦΟΡΙΚΗ ΗΠΕΙΡΟΥ ΙΚΕ,Οδός Σταυρακίου 77,455 00,Σταυράκι,Ιωαννίνων,"265 104 1111, 697 818 6721",https://www.nimetaforiki.gr/
ΣΟΥΗΔΑΣ,,455 00,Μπάφρα,Ιωαννίνων,694 949 9694,https://www.metakomiseis-souidas.gr/
ΧΡΥΣΟΧΟΪΔΗΣ ΚΥΡΙΑΚΟΣ,,454 44,Ιωάννινα,Ιωαννίνων,"265 106 4143, 697 818 5314",https://www.metafores-metakomiseis-ioannina.gr/
